ゴミ分類区分,地区名,地区名(英語),収集曜日,祝日の収集,特別に収集する日,特別に収集しない日,適用開始日,適用終了日,標準地域コード
燃やすごみ,北品川4丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,北品川4丁目,"",第2土・第4土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,北品川4丁目,"",火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,北品川5丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,北品川5丁目,"",第2土・第4土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,北品川5丁目,"",火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,北品川6丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,北品川6丁目,"",第2土・第4土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,北品川6丁目,"",火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,西大井1丁目（荏原エリア）,"",水・土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,西大井1丁目（荏原エリア）,"",第1月・第3月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,西大井1丁目（荏原エリア）,"",木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,西大井1丁目（品川エリア）,"",火・金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,西大井1丁目（品川エリア）,"",第1木・第3木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,西大井1丁目（品川エリア）,"",水,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,西大井2丁目,"",火・金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,西大井2丁目,"",第1木・第3木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,西大井2丁目,"",水,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,西大井3丁目,"",火・金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,西大井3丁目,"",第1木・第3木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,西大井3丁目,"",水,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,西大井4丁目,"",火・金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,西大井4丁目,"",第1木・第3木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,西大井4丁目,"",水,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,西大井5丁目,"",火・金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,西大井5丁目,"",第1木・第3木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,西大井5丁目,"",水,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,西大井6丁目（荏原エリア）,"",水・土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,西大井6丁目（荏原エリア）,"",第2月・第4月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,西大井6丁目（荏原エリア）,"",木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,西大井6丁目（品川エリア）,"",火・金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,西大井6丁目（品川エリア）,"",第1木・第3木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,西大井6丁目（品川エリア）,"",水,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,西五反田1丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,西五反田1丁目,"",第2土・第4土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,西五反田1丁目,"",火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,西五反田2丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,西五反田2丁目,"",第1土・第3土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,西五反田2丁目,"",金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,西五反田3丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,西五反田3丁目,"",第1水・第3水,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,西五反田3丁目,"",金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,西五反田4丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,西五反田4丁目,"",第2水・第4水,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,西五反田4丁目,"",金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,西五反田5丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,西五反田5丁目,"",第2水・第4水,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,西五反田5丁目,"",金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,西五反田6丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,西五反田6丁目,"",第2水・第4水,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,西五反田6丁目,"",金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,西五反田7丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,西五反田7丁目,"",第2水・第4水,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,西五反田7丁目,"",金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,西五反田8丁目,"",月・木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,西五反田8丁目,"",第2土・第4土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,西五反田8丁目,"",金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,西品川1丁目（品川エリア）,"",水・土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,西品川1丁目（品川エリア）,"",第1金・第3金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,西品川1丁目（品川エリア）,"",月,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,西品川1丁目（荏原エリア）,"",水・土,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,西品川1丁目（荏原エリア）,"",第1火・第3火,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
資源,西品川1丁目（荏原エリア）,"",金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
燃やすごみ,西品川2丁目,"",火・金,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
陶器・ガラス・金属ごみ,西品川2丁目,"",第2木・第4木,○,"","","","",http://statdb.nstac.go.jp/lod/sac/C13109
